GEOID,NAME,variable,estimate,moe,survey_year
42101,"Philadelphia County, Pennsylvania",tot_pop,1528306,,2010
42101,"Philadelphia County, Pennsylvania",nh_white,563364,887,2010
42101,"Philadelphia County, Pennsylvania",nh_black,647827,3606,2010
42101,"Philadelphia County, Pennsylvania",nh_aian,2969,830,2010
42101,"Philadelphia County, Pennsylvania",nh_asian,97293,2725,2010
42101,"Philadelphia County, Pennsylvania",nh_hawaiian,69,113,2010
42101,"Philadelphia County, Pennsylvania",nh_other,4067,2413,2010
42101,"Philadelphia County, Pennsylvania",hispanic,188503,,2010
42101,"Philadelphia County, Pennsylvania",tot_pop,1536471,,2011
42101,"Philadelphia County, Pennsylvania",nh_white,566926,1822,2011
42101,"Philadelphia County, Pennsylvania",nh_black,639251,6829,2011
42101,"Philadelphia County, Pennsylvania",nh_aian,1947,704,2011
42101,"Philadelphia County, Pennsylvania",nh_asian,98367,1650,2011
42101,"Philadelphia County, Pennsylvania",nh_hawaiian,395,414,2011
42101,"Philadelphia County, Pennsylvania",nh_other,7425,5757,2011
42101,"Philadelphia County, Pennsylvania",hispanic,193534,,2011
42101,"Philadelphia County, Pennsylvania",tot_pop,1547607,,2012
42101,"Philadelphia County, Pennsylvania",nh_white,563331,1363,2012
42101,"Philadelphia County, Pennsylvania",nh_black,644014,3914,2012
42101,"Philadelphia County, Pennsylvania",nh_aian,2896,862,2012
42101,"Philadelphia County, Pennsylvania",nh_asian,98372,2332,2012
42101,"Philadelphia County, Pennsylvania",nh_hawaiian,813,633,2012
42101,"Philadelphia County, Pennsylvania",nh_other,2828,1485,2012
42101,"Philadelphia County, Pennsylvania",hispanic,201001,,2012
42101,"Philadelphia County, Pennsylvania",tot_pop,1553165,,2013
42101,"Philadelphia County, Pennsylvania",nh_white,561483,1304,2013
42101,"Philadelphia County, Pennsylvania",nh_black,649339,3673,2013
42101,"Philadelphia County, Pennsylvania",nh_aian,1770,863,2013
42101,"Philadelphia County, Pennsylvania",nh_asian,104519,1837,2013
42101,"Philadelphia County, Pennsylvania",nh_hawaiian,0,172,2013
42101,"Philadelphia County, Pennsylvania",nh_other,4050,1594,2013
42101,"Philadelphia County, Pennsylvania",hispanic,206033,,2013
42101,"Philadelphia County, Pennsylvania",tot_pop,1560297,,2014
42101,"Philadelphia County, Pennsylvania",nh_white,556517,1932,2014
42101,"Philadelphia County, Pennsylvania",nh_black,643052,4703,2014
42101,"Philadelphia County, Pennsylvania",nh_aian,3496,844,2014
42101,"Philadelphia County, Pennsylvania",nh_asian,108786,1863,2014
42101,"Philadelphia County, Pennsylvania",nh_hawaiian,392,315,2014
42101,"Philadelphia County, Pennsylvania",nh_other,5446,2591,2014
42101,"Philadelphia County, Pennsylvania",hispanic,212703,,2014
42101,"Philadelphia County, Pennsylvania",tot_pop,1567442,,2015
42101,"Philadelphia County, Pennsylvania",nh_white,551713,2093,2015
42101,"Philadelphia County, Pennsylvania",nh_black,642257,4218,2015
42101,"Philadelphia County, Pennsylvania",nh_aian,2636,970,2015
42101,"Philadelphia County, Pennsylvania",nh_asian,112224,2232,2015
42101,"Philadelphia County, Pennsylvania",nh_hawaiian,554,512,2015
42101,"Philadelphia County, Pennsylvania",nh_other,7525,2912,2015
42101,"Philadelphia County, Pennsylvania",hispanic,219038,,2015
42101,"Philadelphia County, Pennsylvania",tot_pop,1567872,,2016
42101,"Philadelphia County, Pennsylvania",nh_white,543137,1779,2016
42101,"Philadelphia County, Pennsylvania",nh_black,643763,4611,2016
42101,"Philadelphia County, Pennsylvania",nh_aian,3433,856,2016
42101,"Philadelphia County, Pennsylvania",nh_asian,109616,2671,2016
42101,"Philadelphia County, Pennsylvania",nh_hawaiian,309,170,2016
42101,"Philadelphia County, Pennsylvania",nh_other,5793,2677,2016
42101,"Philadelphia County, Pennsylvania",hispanic,226320,,2016
42101,"Philadelphia County, Pennsylvania",tot_pop,1580863,,2017
42101,"Philadelphia County, Pennsylvania",nh_white,545580,709,2017
